precision,recall,time_taken
9.999655485153198242e-01,9.597908258438110352e-01,4.328527450561523438e-01
9.358609914779663086e-01,3.980647623538970947e-01,1.570284366607666016e-01
9.560315608978271484e-01,4.029199481010437012e-01,1.233766078948974609e-01
8.791946172714233398e-01,1.298830099403858185e-02,1.130478382110595703e-01
9.223529696464538574e-01,4.575781822204589844e-01,1.055204868316650391e-01
9.993609189987182617e-01,9.499714374542236328e-01,1.055474281311035156e-01
9.996786713600158691e-01,9.063891768455505371e-01,7.599449157714843750e-02
2.282511144876480103e-01,2.080759406089782715e-01,7.412409782409667969e-02
9.347562789916992188e-01,5.246834754943847656e-01,7.116007804870605469e-02
1.000000000000000000e+00,8.280185461044311523e-01,7.138633728027343750e-02
6.243094205856323242e-01,1.203151606023311615e-02,7.551121711730957031e-02
2.192854136228561401e-01,1.000000000000000000e+00,8.030843734741210938e-02
9.967179298400878906e-01,9.109567403793334961e-01,7.443690299987792969e-02
9.997974038124084473e-01,9.786667227745056152e-01,7.652568817138671875e-02
9.707278013229370117e-01,5.699957013130187988e-01,7.218074798583984375e-02
9.989277124404907227e-01,8.966964483261108398e-01,7.000565528869628906e-02
9.760032892227172852e-01,9.325333237648010254e-01,7.000541687011718750e-02
9.937484860420227051e-01,9.499881863594055176e-01,7.452678680419921875e-02
6.724718213081359863e-01,9.364321231842041016e-01,7.252264022827148438e-02
9.741989374160766602e-01,9.207731485366821289e-01,6.852817535400390625e-02
9.856189489364624023e-01,6.662191152572631836e-01,6.852793693542480469e-02
8.324729204177856445e-01,9.388663768768310547e-01,6.852793693542480469e-02
9.998838901519775391e-01,9.634560346603393555e-01,6.800842285156250000e-02
9.999497532844543457e-01,9.041755795478820801e-01,7.700634002685546875e-02
9.553881883621215820e-01,2.432871013879776001e-01,1.100378036499023438e-01
9.770806431770324707e-01,9.040470123291015625e-01,1.250536441802978516e-01
9.339872598648071289e-01,3.439590036869049072e-01,7.920050621032714844e-02
7.714917063713073730e-01,9.105373024940490723e-01,9.718108177185058594e-02
9.999620914459228516e-01,9.690266847610473633e-01,7.700681686401367188e-02
9.920576214790344238e-01,6.245682835578918457e-01,7.099819183349609375e-02
9.785489439964294434e-01,9.428144693374633789e-01,6.915140151977539062e-02
9.785118103027343750e-01,5.554435253143310547e-01,6.753730773925781250e-02
9.183303117752075195e-01,3.905526548624038696e-02,7.752108573913574219e-02
9.729323387145996094e-01,5.382958650588989258e-01,9.352135658264160156e-02
9.380381107330322266e-01,8.923504352569580078e-01,8.251571655273437500e-02
1.000000000000000000e+00,9.169344902038574219e-01,7.953190803527832031e-02
9.998680353164672852e-01,9.609857201576232910e-01,7.551908493041992188e-02
9.802929162979125977e-01,8.844305872917175293e-01,7.452726364135742188e-02
9.479241371154785156e-01,4.145893454551696777e-01,7.340764999389648438e-02
9.507597088813781738e-01,9.649420976638793945e-01,7.152986526489257812e-02
9.999468326568603516e-01,8.656262755393981934e-01,7.651853561401367188e-02
9.797120690345764160e-01,9.234470129013061523e-01,7.200717926025390625e-02
9.498507976531982422e-01,5.343105196952819824e-01,8.000493049621582031e-02
9.999424815177917480e-01,9.123294949531555176e-01,7.800555229187011719e-02
9.551792144775390625e-01,6.021432280540466309e-01,9.651494026184082031e-02
9.997625946998596191e-01,9.760627746582031250e-01,7.400012016296386719e-02
9.698408842086791992e-01,6.388236880302429199e-01,8.000278472900390625e-02
9.760665893554687500e-01,5.147247314453125000e-01,7.600498199462890625e-02
9.679030776023864746e-01,5.154905319213867188e-01,7.251048088073730469e-02
9.622123241424560547e-01,3.915474712848663330e-01,7.152271270751953125e-02
1.000000000000000000e+00,9.290084242820739746e-01,7.251620292663574219e-02
9.692474007606506348e-01,8.843645453453063965e-01,7.952284812927246094e-02
9.308544397354125977e-01,3.054041564464569092e-01,7.751965522766113281e-02
9.073863625526428223e-01,2.886144518852233887e-01,8.752393722534179688e-02
9.382715821266174316e-01,5.000000000000000000e-01,8.251857757568359375e-02
1.000000000000000000e+00,7.232503294944763184e-01,9.252715110778808594e-02
9.903073906898498535e-01,8.792048096656799316e-01,7.452845573425292969e-02
5.549597740173339844e-01,1.835594512522220612e-02,7.252049446105957031e-02
9.994169473648071289e-01,9.244615435600280762e-01,8.352375030517578125e-02
9.852206707000732422e-01,5.051974058151245117e-01,7.210659980773925781e-02
9.443326592445373535e-01,1.127572655677795410e-01,7.151675224304199219e-02
9.958155155181884766e-01,8.844598531723022461e-01,9.352087974548339844e-02
